Sample;Timestamp;Drift;Drift Error;Offset;Offset Error
170;1.55629e+15;0.999995;9.14562e-05;-803.297;822.085
171;1.55629e+15;0.999995;9.13594e-05;-803.327;822.056
172;1.55629e+15;0.999995;9.1265e-05;-803.355;822.027
173;1.55629e+15;0.999995;9.07711e-05;-803.505;821.877
174;1.55629e+15;0.999995;9.07711e-05;-803.505;821.877
175;1.55629e+15;0.999995;9.07711e-05;-803.505;821.877
176;1.55629e+15;0.999996;8.99003e-05;-803.769;821.613
177;1.55629e+15;0.999996;8.99003e-05;-803.769;821.613
178;1.55629e+15;0.999996;8.9761e-05;-803.741;821.585
179;1.55629e+15;0.999997;8.86024e-05;-804.092;821.234
180;1.55629e+15;0.999996;8.75625e-05;-803.882;821.024
181;1.55629e+15;0.999996;8.75625e-05;-803.882;821.024
182;1.55629e+15;0.999996;8.75625e-05;-803.882;821.024
183;1.55629e+15;0.999996;8.72915e-05;-803.964;820.942
184;1.55629e+15;0.999997;8.69387e-05;-804.071;820.835
185;1.55629e+15;0.999997;8.69387e-05;-804.071;820.835
186;1.55629e+15;0.999997;8.63101e-05;-804.261;820.645
187;1.55629e+15;0.999995;8.37371e-05;-803.8;820.114
188;1.55629e+15;0.999995;8.37371e-05;-803.8;820.114
189;1.55629e+15;0.999995;8.33944e-05;-803.904;820.01
190;1.55629e+15;0.999991;7.9223e-05;-803.062;819.168
191;1.55629e+15;0.999991;7.9223e-05;-803.062;819.168
192;1.55629e+15;0.999992;7.87085e-05;-803.218;819.012
193;1.55629e+15;0.999992;7.82717e-05;-803.35;818.879
194;1.55629e+15;0.999992;7.8257e-05;-803.354;818.875
195;1.55629e+15;0.999992;7.8257e-05;-803.354;818.875
196;1.55629e+15;0.999992;7.8257e-05;-803.354;818.875
197;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
198;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
199;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
200;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
201;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
202;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
203;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
204;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
205;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
206;1.55629e+15;0.999994;7.61861e-05;-803.982;818.247
207;1.55629e+15;0.999995;7.53159e-05;-804.246;817.984
208;1.55629e+15;0.999996;7.48156e-05;-804.397;817.832
209;1.55629e+15;0.999996;7.48156e-05;-804.397;817.832
210;1.55629e+15;0.999996;7.48156e-05;-804.397;817.832
